Datum;Typ;Wert;Buchungswährung;Bruttobetrag;Währung Bruttobetrag;Wechselkurs;Gebühren;Steuern;Stück;ISIN;WKN;Ticker-Symbol;Wertpapiername;Notiz
2020-01-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,85432;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000012001
2020-01-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,73452;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000012002
2020-02-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,89234;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000022001
2020-02-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,82345;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000022002
2020-03-15T00:00;Einlieferung;500;EUR;;;;1,5;0;2,15678;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000032001
2020-03-15T00:00;Einlieferung;500;EUR;;;;1,5;0;7,45231;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000032002
2020-04-15T00:00;Einlieferung;500;EUR;;;;1,5;0;2,23456;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000042001
2020-04-15T00:00;Einlieferung;500;EUR;;;;1,5;0;7,89123;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000042002
2020-05-15T00:00;Einlieferung;500;EUR;;;;1,5;0;2,12345;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000052001
2020-05-15T00:00;Einlieferung;500;EUR;;;;1,5;0;7,34567;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000052002
2020-06-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,98765;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000062001
2020-06-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,87654;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000062002
2020-07-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,87654;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000072001
2020-07-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,54321;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000072002
2020-08-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,76543;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000082001
2020-08-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,23456;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000082002
2020-09-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,78234;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000092001
2020-09-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,12345;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000092002
2020-10-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,82345;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000102001
2020-10-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,34567;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000102002
2020-11-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,74321;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000112001
